Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,267.000000,271.000000,266.000000,270.000000,257.040009,1049876
2023-01-04,271.500000,271.500000,268.500000,268.500000,255.612000,749417
2023-01-05,271.000000,275.000000,271.000000,271.000000,257.992004,1159580
2023-01-06,272.000000,273.000000,270.000000,271.500000,258.468018,625059
2023-01-09,273.500000,275.500000,272.500000,275.000000,261.800018,1470961
2023-01-10,274.000000,274.000000,269.500000,269.500000,256.563995,2029005
2023-01-11,270.500000,271.500000,269.000000,269.000000,256.088013,1517495
2023-01-12,270.000000,270.500000,263.500000,265.000000,252.279999,1623230
2023-01-13,267.500000,268.500000,265.500000,268.000000,255.136002,1084218
2023-01-16,269.000000,271.000000,268.000000,269.000000,256.088013,1012253
2023-01-17,270.000000,270.500000,268.000000,268.000000,255.136002,1332228
2023-01-30,275.000000,280.000000,273.500000,280.000000,266.559998,4377859
2023-01-31,280.000000,280.500000,271.500000,272.000000,258.944000,2874085
2023-02-01,274.500000,276.000000,272.500000,275.000000,261.800018,1138611
2023-02-02,277.000000,279.000000,275.000000,278.500000,265.132019,1549278
2023-02-03,278.000000,279.000000,275.500000,278.000000,264.656006,1319831
2023-02-06,274.500000,279.000000,274.000000,276.000000,262.752014,1842049
2023-02-07,276.000000,279.000000,275.000000,278.000000,264.656006,1745157
2023-02-08,278.000000,279.500000,276.500000,277.500000,264.179993,1808530
2023-02-09,276.500000,277.500000,276.000000,276.000000,262.752014,1248637
2023-02-10,273.500000,274.000000,270.000000,270.000000,257.040009,2794347
2023-02-13,270.500000,275.000000,270.000000,274.500000,261.324005,1572918
2023-02-14,276.500000,278.000000,276.000000,276.500000,263.227997,1141089
2023-02-15,277.500000,277.500000,275.500000,276.000000,262.752014,1211934
2023-02-16,277.500000,280.000000,277.500000,278.000000,264.656006,1841756
2023-02-17,279.500000,280.000000,277.500000,279.500000,266.084015,911274
2023-02-20,279.500000,279.500000,278.000000,278.000000,264.656006,635792
2023-02-21,278.500000,279.500000,277.000000,279.500000,266.084015,717133
2023-02-22,278.500000,281.000000,277.500000,279.500000,266.084015,1329982
2023-02-23,281.000000,282.000000,279.500000,280.500000,267.036011,1539817
2023-02-24,282.000000,282.000000,278.000000,278.000000,264.656006,2513475
2023-03-01,277.000000,279.000000,275.000000,276.000000,262.752014,1981370
2023-03-02,277.500000,282.000000,276.500000,281.000000,267.511993,1567509
2023-03-03,282.500000,284.500000,282.000000,284.000000,270.368011,1155317
2023-03-06,286.500000,288.000000,285.000000,286.500000,272.748016,1401276
2023-03-07,287.000000,290.000000,286.500000,289.500000,275.604004,1354127
2023-03-08,289.000000,289.000000,286.000000,287.500000,273.700012,1419465
2023-03-09,287.000000,287.500000,284.000000,285.500000,271.796021,1821629
2023-03-10,285.000000,293.000000,285.000000,293.000000,278.936005,4121558
2023-03-13,268.000000,271.500000,264.500000,266.000000,253.232010,8521919
2023-03-14,264.000000,264.000000,260.500000,261.000000,248.472000,4961936
2023-03-15,262.000000,264.000000,261.000000,261.500000,248.948013,2459167
2023-03-16,260.500000,264.500000,260.500000,263.000000,250.376007,1999583
2023-03-17,264.500000,271.000000,263.000000,271.000000,257.992004,4356986
2023-03-20,270.000000,270.000000,265.000000,266.000000,253.232010,1781967
2023-03-21,267.500000,268.500000,267.000000,268.500000,255.612000,1333391
2023-03-22,268.500000,269.000000,267.000000,269.000000,256.088013,2237987
2023-03-23,269.000000,271.000000,267.500000,269.500000,256.563995,1723042
2023-03-24,270.000000,271.000000,268.000000,270.000000,257.040009,1292558
2023-03-27,270.500000,271.000000,269.500000,269.500000,256.563995,1031301
2023-03-28,269.000000,271.000000,267.500000,268.500000,255.612000,1075834
2023-03-29,270.000000,271.500000,270.000000,271.500000,258.468018,1071759
2023-03-30,271.500000,273.000000,270.500000,272.500000,259.420013,1197882
2023-03-31,273.500000,275.000000,271.000000,272.500000,259.420013,1681760
2023-04-06,269.500000,270.500000,268.500000,270.500000,257.515991,1635045
2023-04-07,271.500000,272.000000,270.000000,270.000000,257.040009,580249
2023-04-10,271.500000,272.000000,270.000000,271.000000,257.992004,554168
2023-04-11,271.000000,274.500000,270.500000,273.500000,260.372009,1344270
2023-04-12,276.000000,280.000000,275.500000,278.500000,265.132019,1984283
2023-04-13,279.500000,280.000000,275.500000,275.500000,262.276001,1700179
2023-04-14,278.500000,278.500000,275.500000,277.500000,264.179993,1057529
2023-04-17,278.500000,281.000000,278.000000,281.000000,267.511993,1593935
2023-04-18,281.500000,282.000000,277.000000,278.500000,265.132019,1164264
2023-04-19,279.000000,281.000000,278.000000,278.500000,265.132019,1535742
2023-04-20,279.500000,279.500000,275.500000,276.500000,263.227997,1069423
2023-04-21,279.000000,280.500000,275.000000,276.000000,262.752014,1964635
2023-04-24,278.000000,279.000000,276.000000,278.500000,265.132019,2055511
2023-04-25,280.000000,280.000000,276.000000,278.000000,264.656006,2373820
2023-04-26,275.500000,277.000000,272.000000,275.500000,262.276001,2510619
2023-04-27,275.500000,280.000000,274.500000,280.000000,266.559998,2542742
2023-04-28,282.000000,282.500000,279.000000,282.500000,268.940002,1819282
2023-05-02,283.000000,287.000000,282.000000,286.000000,272.272003,1551112
2023-05-03,287.000000,288.000000,285.500000,287.500000,273.700012,1650072
2023-05-04,287.000000,292.000000,286.500000,292.000000,277.984009,2559015
2023-05-05,291.500000,291.500000,286.000000,289.000000,275.128021,1764678
2023-05-08,289.000000,290.500000,288.000000,288.500000,274.652008,1065796
2023-05-09,289.500000,293.000000,289.000000,292.000000,277.984009,1815198
2023-05-10,290.500000,292.000000,287.500000,291.500000,277.507996,1439542
2023-05-11,291.500000,291.500000,286.500000,286.500000,272.748016,1175908
2023-05-12,286.000000,287.000000,280.500000,281.500000,267.988007,2005860
2023-05-15,304.500000,309.000000,297.500000,303.500000,288.932007,8964265
2023-05-16,303.000000,305.500000,299.000000,303.500000,288.932007,3435551
2023-05-17,302.500000,305.000000,302.000000,303.500000,288.932007,3178876
2023-05-18,304.500000,310.000000,303.000000,308.000000,293.216003,3951572
2023-05-19,306.000000,309.500000,305.000000,308.000000,293.216003,2310376
2023-05-22,307.500000,308.000000,303.500000,306.500000,291.787994,1566021
2023-05-23,307.500000,309.000000,306.500000,307.000000,292.264008,2733317
